id,Name,titleProject_id,class,score,login,password
23,Дименская Светлана Дмитриевна,387,9д,5,Дименская_СД,H7dxgc43
24,Ковторева Раиса Василевна,482,9и,2,Ковторева_РВ,uoyTtoxb
25,Кулишнин Вячеслав Яковлевич,386,11х,5,Кулишнин_ВЯ,G5PrsEPt
26,Лексин Кирилл Антонович,139,7в,5,Лексин_КА,2Yi6Q3Po
27,Лаковский Григорий Василиевич,240,7д,5,Лаковский_ГВ,2UatWB3T
28,Барамыкова Александра Алексеевна,106,10а,3,Барамыкова_АА,ovHuYqCa
29,Плясулина Оксана Андреевна,346,8х,2,Плясулина_ОА,i3xNu9hL
30,Петрикеев Станислав Яковлевич,14,7и,4,Петрикеев_СЯ,L5QI4z00
31,Моторыгин Илья Георгиевич,238,10и,5,Моторыгин_ИГ,4Ju6nyF2
32,Рыков Тарас Павлович,174,10и,5,Рыков_ТП,YfQHSij6
33,Иончикова Елизавета Егоровна,169,8д,5,Иончикова_ЕЕ,wF6Yh3IO
34,Смолькина Алиса Егоровна,441,7г,5,Смолькина_АЕ,fqxnvEuL
35,Оболенин Герасим Павлович,472,7и,4,Оболенин_ГП,GsestUc9
36,Трощинский Георгий Борисович,67,9д,3,Трощинский_ГБ,dcyqpJVK
37,Поддубская Лиза Игоревна,496,10а,4,Поддубская_ЛИ,fYw2RbsQ
38,Телькова Валерия Олеговна,335,7х,4,Телькова_ВО,NO1SIfab
39,Чигварина Александра Алексеевна,428,10б,2,Чигварина_АА,bJevnYvb
40,Киреевский Артур Игоревич,119,7в,3,Киреевский_АИ,YQ493uA9
41,Шумейкин Роман Павлович,420,8в,5,Шумейкин_РП,ftNq1vba
42,Трушинов Максим Алексиевич,82,8и,4,Трушинов_МА,jAdFpEll
43,Голюков Денис Сергеевич,62,11б,4,Голюков_ДС,oK6MrCoI
44,Хлиманкова Надежда Валерьевна,461,10б,3,Хлиманкова_НВ,sAm4gegQ
45,Кулаженков Алексей Олегович,367,10в,2,Кулаженков_АО,t0mmbpes
46,Бутукин Владимир Адамович,221,7х,5,Бутукин_ВА,hkutZYy1
47,Поддуев Леонид Олегович,149,9х,4,Поддуев_ЛО,zNZlUrR9
48,Ревцев Василий Павлович,360,9х,5,Ревцев_ВП,UuWPAF4k
49,Старокожев Артём Юрьевич,46,8д,3,Старокожев_АЮ,jwiBM5XF
50,Светошев Максим Михаилович,321,10х,2,Светошев_ММ,ngh41R0o
51,Старынина Кристина Федоровна,266,9д,3,Старынина_КФ,m3d6875v
52,Востров Дмитрий Денисович,282,9г,3,Востров_ДД,YX39en5s
53,Бураханова Анастасия Леонидовна,16,8г,2,Бураханова_АЛ,Nb2nTrmc
54,Понизов Виктор Кириллович,214,11и,5,Понизов_ВК,EUHtV373
55,Суздалев Валерий Алексеевич,66,11т,5,Суздалев_ВА,witdEHV1
56,Колендин Дмитрий Алексеевич,153,10в,4,Колендин_ДА,8Qvep6Nd
57,Сулькова Екатерина Андреевна,325,8и,4,Сулькова_ЕА,KgiCbVN0
58,Аржевитова Надежда Федоровна,242,10в,2,Аржевитова_НФ,xX6Z1opZ
59,Крассов Валерий Олегович,201,8х,5,Крассов_ВО,drpUn3x8
60,Сонураева Инна Андреевна,450,9т,3,Сонураева_ИА,BJ8qkWLG
61,Пашин Роман Вадимович,204,10д,2,Пашин_РВ,Md1KsFgD
62,Фичкина Евгения Федоровна,29,11д,3,Фичкина_ЕФ,94TEbBA6
63,Свилин Олег Виталиевич,123,8в,2,Свилин_ОВ,Rc1GufSu
64,Рогоцкий Андрей Адамович,142,9в,2,Рогоцкий_АА,SgSdMMuT
65,Ахантьев Игорь Валериевич,80,10д,5,Ахантьев_ИВ,ARnlbH1U
66,Сочиникова Ксения Кирилловна,100,10д,2,Сочиникова_КК,jyIZ3rER
67,Остюков Артур Романович,329,11и,3,Остюков_АР,YPwv62bP
68,Брюкина Оксана Викторовна,98,8в,5,Брюкина_ОВ,f7VALQHO
69,Кузовенков Игорь Юрьевич,322,9г,None,Кузовенков_ИЮ,H50xDni5
70,Калухов Тарас Иванович,207,11а,3,Калухов_ТИ,7WyQ8UDW
71,Батыров Пётр Виталиевич,227,7и,3,Батыров_ПВ,11PuXGYe
72,Озрина Катерина Валерьевна,147,10а,4,Озрина_КВ,33jEwj6s
73,Декалова Полина Леонидовна,470,11д,5,Декалова_ПЛ,VUZVSS9K
74,Лосицкий Владимир Кириллович,369,9т,5,Лосицкий_ВК,iTnCMtQW
75,Магнусов Пётр Максимович,437,7и,5,Магнусов_ПМ,Lk0799ZV
76,Лавренков Михаил Василиевич,188,9б,2,Лавренков_МВ,jf2zCIXX
77,Шушкалова Вероника Алексеевна,411,8т,5,Шушкалова_ВА,Ylw972r0
78,Бороданова Маргарита Дмитриевна,118,7г,5,Бороданова_МД,IwOCDMf7
79,Циркина Виолетта Федоровна,231,9г,2,Циркина_ВФ,whqtu7C2
80,Болохина Екатерина Андреевна,194,11д,3,Болохина_ЕА,PDHvkBv9
81,Чукалова Дарья Валерьевна,20,10г,4,Чукалова_ДВ,E9jTceQU
82,Беловолов Степан Петрович,222,9д,2,Беловолов_СП,T6Jpxy5Q
83,Зудейкина Вероника Ивановна,166,8и,3,Зудейкина_ВИ,jWTLVxhs
84,Макунова Мария Борисовна,47,9в,5,Макунова_МБ,dn3tGetr
85,Верзанский Геннадий Андреевич,497,7д,5,Верзанский_ГА,5XSEurmL
86,Алтубин Ярослав Леонидович,414,10г,5,Алтубин_ЯЛ,EW2HGBhi
87,Аузин Игорь Алексиевич,435,8х,5,Аузин_ИА,pGStPfi7
88,Калыгин Степан Тимофеевич,353,8и,2,Калыгин_СТ,nIJkVqpS
89,Дурныгина Полина Игоревна,72,8и,2,Дурныгина_ПИ,GX7e0o9y
90,Антюфеева Александра Вадимовна,347,8и,2,Антюфеева_АВ,CJZkd5yd
91,Лощинский Борис Романович,210,10б,3,Лощинский_БР,AMiCieUk
92,Ходорков Евгений Виталиевич,344,9г,5,Ходорков_ЕВ,ZupFIbH2
93,Кафорин Федор Данилович,427,10д,3,Кафорин_ФД,Fx4UTJ1j
94,Косынская Алиса Дмитриевна,40,9в,3,Косынская_АД,mCxRRBkg
95,Беремцев Артём Антонович,434,11т,2,Беремцев_АА,Whlp2Kb9
96,Влянская Мария Андреевна,490,7т,4,Влянская_МА,2JbqtPZO
97,Мыгеева Лиза Василевна,280,8в,5,Мыгеева_ЛВ,k8ofLMsH
98,Акутникова Мария Алексеевна,173,11в,2,Акутникова_МА,sWXwuBJw
99,Карябкин Константин Максимович,89,7и,2,Карябкин_КМ,fhxCLBwC
100,Прилепина Яна Максимовна,30,10в,5,Прилепина_ЯМ,0i7QY7gC
101,Ведищев Никита Георгиевич,365,7и,5,Ведищев_НГ,nvWSnYEn
102,Самчева Вероника Борисовна,287,10г,3,Самчева_ВБ,tELAF9bu
103,Пирцхалова Карина Леонидовна,452,10г,5,Пирцхалова_КЛ,AnTGF3s6
104,Павлочев Денис Борисович,432,11д,5,Павлочев_ДБ,DldxPEvo
105,Арашкова Екатерина Евгеньевна,356,8х,None,Арашкова_ЕЕ,ZiOU8rQt
106,Байсарова Людмила Василевна,215,11и,2,Байсарова_ЛВ,qBOiyEUm
107,Кудекина Зинаида Игоревна,250,10и,3,Кудекина_ЗИ,0i6a8FUe
108,Дерналов Виталий Викторович,1,9г,4,Дерналов_ВВ,jYi0rQ3r
109,Сазинова Галина Романовна,61,9и,3,Сазинова_ГР,gn2isax7
110,Остаченова Марина Эдуардовна,229,9т,5,Остаченова_МЭ,ibTDmdzj
111,Битюкова Яна Егоровна,488,9и,4,Битюкова_ЯЕ,33P8cScK
112,Иваницкий Константин Борисович,232,8д,5,Иваницкий_КБ,2f3sTnxH
113,Белянский Владислав Игоревич,74,11б,5,Белянский_ВИ,5nku3nur
114,Баранкин Артём Алексеевич,382,9т,2,Баранкин_АА,ygZxENYC
115,Шкабанова Софья Вадимовна,499,9х,4,Шкабанова_СВ,Cp9gGgyH
116,Полозлов Денис Адамович,155,8т,3,Полозлов_ДА,Yoq70lKa
117,Жунина Светлана Михайловна,162,8в,3,Жунина_СМ,mTM84W8A
118,Пантыкин Борис Игоревич,245,9х,2,Пантыкин_БИ,5fUIVZwK
119,Доутова Марина Богдановна,189,11х,2,Доутова_МБ,5Vow2ELV
120,Трещалова Яна Андреевна,330,8б,3,Трещалова_ЯА,DnUmxa3a
121,Ивашечкин Александр Данилович,390,10т,4,Ивашечкин_АД,wZQ37IRQ
122,Мазьянова Инна Богдановна,416,11в,4,Мазьянова_ИБ,BfxufBrB
123,Корогев Николай Евгеньевич,184,8б,5,Корогев_НЕ,jQgdBhdU
124,Заидова Галина Максимовна,88,9т,4,Заидова_ГМ,Rhvb6ljr
125,Рамхин Кирилл Алексиевич,459,9х,4,Рамхин_КА,3NQ9HdnQ
126,Кизбабаев Эдуард Фёдорович,415,11т,2,Кизбабаев_ЭФ,niXyZs81
127,Соурчаков Ярослав Валериевич,268,8б,2,Соурчаков_ЯВ,my2IyFcJ
128,Мотяшева Алена Михайловна,404,7т,2,Мотяшева_АМ,E0XitWJk
129,Горшкова Наталия Яковлевна,340,11а,2,Горшкова_НЯ,nDoykTAx
130,Зябрицкий Игорь Виталиевич,332,7а,5,Зябрицкий_ИВ,R9ybhthn
131,Шельдяев Игорь Юриевич,97,7д,5,Шельдяев_ИЮ,xrhZt6n0
132,Шмелькин Максим Викторович,483,9т,5,Шмелькин_МВ,nIumgTog
133,Жалкин Алексей Алексеевич,43,7а,3,Жалкин_АА,dLoXVm4t
134,Худасов Денис Максимович,70,10д,2,Худасов_ДМ,wIybeLSZ
135,Швичкова Наталья Эдуардовна,398,7г,4,Швичкова_НЭ,2HxFenom
136,Едская Жанна Валерьевна,436,11в,4,Едская_ЖВ,VCm9PND8
137,Поморзина Полина Евгеньевна,122,7д,4,Поморзина_ПЕ,o2qN9CH7
138,Будачева Кира Олеговна,55,11х,4,Будачева_КО,pBKfexOw
139,Молкаев Василий Валериевич,216,8д,2,Молкаев_ВВ,dBNsEYRd
140,Яцынин Константин Тимофеевич,285,7г,2,Яцынин_КТ,XTke0iYX
141,Маховиков Василий Петрович,391,7х,4,Маховиков_ВП,2DE0yQlb
142,Шаметова Евгения Вадимовна,463,7а,2,Шаметова_ЕВ,IVq0KLd7
143,Законнова Жанна Евгеньевна,442,11и,None,Законнова_ЖЕ,OUaChE9B
144,Перчихин Аркадий Тимофеевич,164,10т,3,Перчихин_АТ,OCrGRogw
145,Бурдасова Ксения Игоревна,203,9а,3,Бурдасова_КИ,JgxW1TKY
146,Киссин Степан Иванович,251,7х,5,Киссин_СИ,Usn0lS6P
147,Вапилина Мария Егоровна,77,7д,2,Вапилина_МЕ,NGBHwD8E
148,Сигутина Дарья Федоровна,458,7б,2,Сигутина_ДФ,42syThUq
149,Сошьяков Альберт Фёдорович,17,7т,4,Сошьяков_АФ,qnExufYS
150,Лугахина Клара Вадимовна,419,8в,4,Лугахина_КВ,cPI1oPsv
151,Логецкий Анатолий Виталиевич,372,11б,4,Логецкий_АВ,sC8wGrLl
152,Ковайкова Юлия Егоровна,75,10г,2,Ковайкова_ЮЕ,ZKJe2bc9
153,Вермутский Валерий Петрович,447,9и,5,Вермутский_ВП,kEiXDfq6
154,Россомахов Олег Юриевич,56,8в,2,Россомахов_ОЮ,CDTYzgHz
155,Циплакова Екатерина Егоровна,471,9б,5,Циплакова_ЕЕ,QmCYzdl8
156,Квятцева Алла Никитична,138,11в,2,Квятцева_АН,P8SgPT8D
157,Выхухолева Лариса Василевна,384,8б,5,Выхухолева_ЛВ,drrI6YuU
158,Целохов Андрей Вадимович,433,8и,5,Целохов_АВ,tYfJrE2Y
159,Бендин Иван Яковлевич,71,8и,4,Бендин_ИЯ,IJ81g7Ny
160,Лазученков Василий Алексеевич,381,7х,2,Лазученков_ВА,R4fdksSR
161,Скоропухов Михаил Василиевич,69,10и,3,Скоропухов_МВ,ooxFec0R
162,Мухонкин Тарас Романович,126,9и,4,Мухонкин_ТР,jUGepfat
163,Камерцев Владимир Кириллович,303,7а,3,Камерцев_ВК,xYY0AUF4
164,Сандрыкина Анна Олеговна,324,10т,2,Сандрыкина_АО,uwZDU58X
165,Недбайлов Алексей Денисович,15,7т,2,Недбайлов_АД,dg8MAMGO
166,Серпков Ярослав Георгиевич,380,10б,4,Серпков_ЯГ,xxhDGFIQ
167,Хатшуклов Аркадий Николаевич,42,11т,4,Хатшуклов_АН,RWpxWlli
168,Литвалиева Алиса Егоровна,10,11и,3,Литвалиева_АЕ,c2QLI4bg
169,Енесина Лиза Валерьевна,293,9б,5,Енесина_ЛВ,Z1xCtWmc
170,Пикальков Эдуард Алексиевич,21,8д,5,Пикальков_ЭА,u1EHjeRq
171,Сачинский Валентин Кириллович,125,10т,2,Сачинский_ВК,12rkiA6N
172,Тарзанова Евгения Аркадьевна,96,9д,2,Тарзанова_ЕА,heKxK73T
173,Лапундин Юрий Игоревич,267,8и,5,Лапундин_ЮИ,W98eVkgF
174,Личева Лиза Михайловна,453,9б,3,Личева_ЛМ,ABjLrgrJ
175,Смароверов Яков Борисович,131,11в,4,Смароверов_ЯБ,8Z9enJSc
176,Вереина Алла Василевна,295,10и,3,Вереина_АВ,asfp7EIO
177,Погиблева Дарья Леонидовна,283,9в,5,Погиблева_ДЛ,Ridww36M
178,Байнова Анастасия Вадимовна,363,7б,3,Байнова_АВ,I1JsDYI6
179,Шиловский Вячеслав Максимович,438,9и,4,Шиловский_ВМ,isHZUlmC
180,Сыждиков Пётр Василиевич,494,11х,5,Сыждиков_ПВ,SrcTo7ck
181,Каценова Алёна Эдуардовна,165,11т,2,Каценова_АЭ,ToYX8umA
182,Мужицких Ева Олеговна,348,8х,3,Мужицких_ЕО,RgdgHGQD
183,Плеснецов Степан Юрьевич,22,10а,2,Плеснецов_СЮ,0c5yCmZv
184,Игумнова Алёна Сергеевна,114,9д,4,Игумнова_АС,sSVhgwnp
185,Хадаров Владимир Валериевич,278,11т,5,Хадаров_ВВ,1URsc7A3
186,Ступакова Кира Ивановна,421,8и,3,Ступакова_КИ,xjowIdoJ
187,Шоленинов Федор Максимович,286,11т,4,Шоленинов_ФМ,pkNw6sih
188,Гундаров Руслан Николаевич,158,9д,4,Гундаров_РН,JpUxEzub
189,Гречишева Марина Андреевна,464,7д,2,Гречишева_МА,csPJWEVT
190,Утилова Алена Андреевна,253,11д,3,Утилова_АА,rSpy2YLd
191,Роткичева Алиса Максимовна,410,10а,4,Роткичева_АМ,6wFfTNhs
192,Колтышева Марина Вадимовна,87,11г,4,Колтышева_МВ,8bDvs9hl
193,Гурычева Лариса Валерьевна,489,9б,2,Гурычева_ЛВ,E26OkQHu
194,Горцева Кристина Никитична,246,8и,4,Горцева_КН,AXAb1zms
195,Кутурин Геннадий Денисович,197,9в,2,Кутурин_ГД,pSHLf6IG
196,Стефанков Яков Евгеньевич,318,10г,3,Стефанков_ЯЕ,5EUOo6Ht
197,Множина Людмила Василевна,90,8б,2,Множина_ЛВ,KpiB8JmI
198,Семисалов Георгий Иванович,316,9в,3,Семисалов_ГИ,yRFF0aYs
199,Рогалов Альберт Валериевич,327,9б,2,Рогалов_АВ,jZ37ZgXG
200,Черетаева Анастасия Олеговна,341,9б,2,Черетаева_АО,hdE8VOOg
201,Радоминова Любовь Игоревна,25,9и,5,Радоминова_ЛИ,TNxZofih
202,Шувырина Лиза Андреевна,395,9а,5,Шувырина_ЛА,wLKxvpKl
203,Калиженков Семён Алексеевич,401,11а,4,Калиженков_СА,IbwbA3fW
204,Старокашин Константин Петрович,309,10а,3,Старокашин_КП,qAySwiCS
205,Малтоцов Аркадий Яковлевич,218,8а,3,Малтоцов_АЯ,p5w7fDrA
206,Кузеванова Ева Егоровна,116,7д,2,Кузеванова_ЕЕ,4AhTSF8k
207,Нурулина Алёна Егоровна,284,9х,2,Нурулина_АЕ,utVnfoTh
208,Лератов Герасим Сергеевич,374,10а,4,Лератов_ГС,GPa2NnBD
209,Людин Руслан Аркадиевич,498,7и,3,Людин_РА,qXub2sVh
210,Пурин Виктор Данилович,154,8и,5,Пурин_ВД,30ecdUJu
211,Лютов Виктор Юрьевич,288,11г,2,Лютов_ВЮ,o25cMYFB
212,Марюшкина Яна Федоровна,345,10д,5,Марюшкина_ЯФ,ZPyOR0l9
213,Томилова Кристина Михайловна,492,11б,3,Томилова_КМ,BzzOyp0o
214,Дистерев Валерий Валериевич,24,7г,3,Дистерев_ВВ,ZrMU7J7N
215,Дочкин Геннадий Алексиевич,52,11и,5,Дочкин_ГА,NTj6v90e
216,Иняхин Руслан Сергеевич,234,7и,5,Иняхин_РС,s6v0YulG
217,Знайкова Раиса Егоровна,148,11х,3,Знайкова_РЕ,CgsbwxH1
218,Кашавцев Аркадий Леонидович,58,7а,4,Кашавцев_АЛ,pmms2FmH
219,Пятернина Кристина Андреевна,445,7и,2,Пятернина_КА,MUj1bJ1B
220,Гусеева Карина Викторовна,263,9и,2,Гусеева_КВ,PprrWWns
221,Кастева Яна Сергеевна,108,7и,2,Кастева_ЯС,r6yteZpL
222,Гришанин Тарас Павлович,113,10т,2,Гришанин_ТП,BH9h7GiY
223,Грамоткин Илья Викторович,195,8д,5,Грамоткин_ИВ,Jj0YqdZN
224,Мелисин Геннадий Василиевич,465,10г,2,Мелисин_ГВ,V7AuSFph
225,Цинина Светлана Яковлевна,105,11г,5,Цинина_СЯ,a84hTQ0J
226,Петов Георгий Адамович,57,9а,2,Петов_ГА,WQ86ywK7
227,Реева Валентина Максимовна,146,11и,5,Реева_ВМ,fhYWQ4ot
228,Слесивых Мария Аркадьевна,35,7и,5,Слесивых_МА,Hh60frwB
229,Афтаева Полина Ивановна,193,10д,5,Афтаева_ПИ,Es2XWR7t
230,Кривицкий Валентин Виталиевич,208,8х,5,Кривицкий_ВВ,XDaJfm91
231,Чубатов Константин Леонидович,279,11а,4,Чубатов_КЛ,Sz37cqo2
232,Партенков Геннадий Павлович,418,8х,3,Партенков_ГП,yAaWMHsR
233,Черушев Григорий Борисович,84,7г,4,Черушев_ГБ,LkxE99Ld
234,Тютекин Георгий Тимофеевич,262,7а,2,Тютекин_ГТ,mZhjcEGC
235,Янкевский Вячеслав Адамович,167,11г,4,Янкевский_ВА,M6LDAzJe
236,Сухручкина Клавдия Аркадьевна,177,7в,4,Сухручкина_КА,Rcf20X3a
237,Конофалова Клара Петровна,95,11д,5,Конофалова_КП,eixEvaeb
238,Лигасов Михаил Павлович,491,11г,4,Лигасов_МП,MKG7JM2Z
239,Писарьков Альберт Игоревич,313,8в,4,Писарьков_АИ,DgWEKCHr
240,Варов Кирилл Иванович,28,8а,5,Варов_КИ,V5zEbN2Y
241,Пурынов Евгений Петрович,244,9и,3,Пурынов_ЕП,DxgNil7a
242,Супрутская Вероника Викторовна,187,9а,2,Супрутская_ВВ,hpg1moop
243,Скроцкая Алина Федоровна,127,8г,3,Скроцкая_АФ,7NfChAJM
244,Барадулин Вадим Юрьевич,281,11х,3,Барадулин_ВЮ,VxMMEfy5
245,Точилин Дмитрий Фёдорович,476,8а,2,Точилин_ДФ,AFsk1gPX
246,Бикмуллин Руслан Валериевич,333,11т,2,Бикмуллин_РВ,UCnOdqys
247,Серпичев Василий Алексиевич,394,10х,5,Серпичев_ВА,Pw4jbzjf
248,Вострышев Яков Аркадиевич,343,8г,5,Вострышев_ЯА,QZya9jXv
249,Грушчева София Евгеньевна,480,11в,None,Грушчева_СЕ,GqN798wg
250,Кулапов Александр Юрьевич,109,9б,5,Кулапов_АЮ,zED0oAmH
251,Чибисенков Владислав Фёдорович,375,8х,3,Чибисенков_ВФ,9qUWmkHC
252,Утилов Роман Василиевич,254,9х,2,Утилов_РВ,4jLD3D3U
253,Татаурова Галина Федоровна,145,10т,4,Татаурова_ГФ,F0Cr90Bh
254,Визавитина Наталия Леонидовна,101,10г,2,Визавитина_НЛ,7DyOwr5h
255,Мягченков Артём Денисович,115,7б,4,Мягченков_АД,bvZvbzd9
256,Брикова Инна Богдановна,256,9б,4,Брикова_ИБ,QtPOz2yZ
257,Наторкин Валентин Данилович,319,7и,2,Наторкин_ВД,2DZWUwfL
258,Эштрекова Софья Алексеевна,76,9в,3,Эштрекова_СА,EJjVrmFN
259,Кутаманова Кира Андреевна,182,10т,2,Кутаманова_КА,q2ERluNe
260,Кыштымова Евгения Эдуардовна,255,8в,5,Кыштымова_ЕЭ,YPMRwuna
261,Ккнязева Клавдия Дмитриевна,34,7б,5,Ккнязева_КД,Sgw6eLFS
262,Глаголина Алиса Никитична,249,9д,2,Глаголина_АН,jRq5npdE
263,Рисина Раиса Валерьевна,451,10а,4,Рисина_РВ,bfKhZnFY
264,Ребров Алексей Георгиевич,289,8и,3,Ребров_АГ,TDfuNZbe
265,Вырысалова Александра Евгеньевна,39,11и,2,Вырысалова_АЕ,GYAKMe2L
266,Гомольский Владимир Юриевич,314,11х,5,Гомольский_ВЮ,GuW5C3dw
267,Швинова Марина Федоровна,271,8г,5,Швинова_МФ,IW5qAzuO
268,Рудковская Инна Дмитриевна,6,7т,3,Рудковская_ИД,K9InOq9e
269,Решеткина Дарья Василевна,408,10и,3,Решеткина_ДВ,aKidYF4s
270,Евстихеев Игорь Василиевич,422,10х,5,Евстихеев_ИВ,i2ZdjOZP
271,Лазарина Алёна Федоровна,161,8б,3,Лазарина_АФ,oLtRxdp1
272,Гляченков Григорий Николаевич,431,10а,5,Гляченков_ГН,UYSwiZZm
273,Чардынцева Алина Вадимовна,135,10д,3,Чардынцева_АВ,2gCtfvTd
274,Скаредов Яков Иванович,337,9т,5,Скаредов_ЯИ,aucNEfSQ
275,Юрицкий Эдуард Денисович,192,7д,3,Юрицкий_ЭД,Jj1NkpGC
276,Кравчина Светлана Аркадьевна,413,11г,5,Кравчина_СА,y8Nf5b6u
277,Чмареткова Полина Вадимовна,449,10а,2,Чмареткова_ПВ,knEnmYJG
278,Углова Галина Романовна,260,9г,3,Углова_ГР,Y2dGoTom
279,Згуровская Виктория Андреевна,220,9т,4,Згуровская_ВА,7dhx2oYh
280,Секерский Станислав Сергеевич,235,10а,4,Секерский_СС,B5vfwKRP
281,Жевайкин Евгений Адамович,86,11г,3,Жевайкин_ЕА,ThBzzr5v
282,Коточигов Семён Игоревич,26,9д,5,Коточигов_СИ,dVAcVaFw
283,Калонин Альберт Денисович,297,8б,2,Калонин_АД,MssfaajZ
284,Валягин Григорий Антонович,94,10в,4,Валягин_ГА,smhkBSME
285,Коцева Кристина Николаевна,412,9г,3,Коцева_КН,TLqB0cYj
286,Голина Кристина Максимовна,3,7х,3,Голина_КМ,G0IoTt1a
287,Батрамеев Анатолий Романович,354,9х,3,Батрамеев_АР,IGsh12uu
288,Чикмарев Валентин Валериевич,306,9и,5,Чикмарев_ВВ,Enm1YNcI
289,Киницына Валерия Олеговна,202,7х,4,Киницына_ВО,KnFQqyFt
290,Числин Юрий Денисович,121,7в,2,Числин_ЮД,ym7oVpCv
291,Стебунова Юлия Романовна,358,9т,3,Стебунова_ЮР,7GEVr1NR
292,Кацов Павел Павлович,236,10г,5,Кацов_ПП,V9jt6cWG
293,Гоцев Тарас Викторович,41,8в,3,Гоцев_ТВ,kU09VGPL
294,Мотовицкий Роман Аркадиевич,31,11и,5,Мотовицкий_РА,Aji4tqXn
295,Чурзина Клара Егоровна,308,10б,3,Чурзина_КЕ,RdZQvivR
296,Щепалкина Валерия Сергеевна,134,9б,4,Щепалкина_ВС,rj7I1kae
297,Утимишев Ярослав Игоревич,239,11а,3,Утимишев_ЯИ,DbL4RSnQ
298,Алуханов Кирилл Фёдорович,298,7т,2,Алуханов_КФ,nIIQVeeN
299,Полунеев Валентин Валериевич,307,8и,2,Полунеев_ВВ,D4wY4A0U
300,Крупенова Наталия Андреевна,209,7в,5,Крупенова_НА,lc8ZP2yZ
301,Корнюшин Илья Юрьевич,44,10т,3,Корнюшин_ИЮ,DkE81pLq
302,Паушева Виолетта Никитична,310,8г,4,Паушева_ВН,6T80Exyp
303,Берзин Герасим Антонович,349,11т,5,Берзин_ГА,eNFQ1nrw
304,Шулунова Алла Алексеевна,54,7д,4,Шулунова_АА,2Y1RMxiK
305,Трепашова София Яковлевна,399,11а,2,Трепашова_СЯ,wfAiT1yh
306,Чумейкин Константин Антонович,8,8б,5,Чумейкин_КА,uOrdHrpw
307,Польшиков Денис Игоревич,495,9и,2,Польшиков_ДИ,acAJt1zT
308,Медоусова Жанна Романовна,252,7б,2,Медоусова_ЖР,PrIylqlB
309,Акуратова Клавдия Андреевна,92,9г,5,Акуратова_КА,BCeproEZ
310,Курмеева Елизавета Валерьевна,486,8а,5,Курмеева_ЕВ,V1MxWhbW
311,Бадов Александр Аркадиевич,217,10г,3,Бадов_АА,pOTVwbcf
312,Бакушин Эдуард Адамович,265,7б,5,Бакушин_ЭА,pS5QQy4n
313,Чебина Инна Сергеевна,273,10т,2,Чебина_ИС,hg4fscms
314,Подледнова Наталья Ивановна,112,11и,3,Подледнова_НИ,CYwey4Pn
315,Садгеева Лиза Евгеньевна,460,11г,3,Садгеева_ЛЕ,dQvgy4vD
316,Акушин Борис Павлович,493,9т,2,Акушин_БП,SC2RvwyD
317,Аришев Руслан Кириллович,379,10т,3,Аришев_РК,hr2doQ1N
318,Гуслова Кристина Олеговна,389,9в,2,Гуслова_КО,HguKZUqY
319,Глоточкина Оксана Аркадьевна,370,9и,5,Глоточкина_ОА,X7s7wUHj
320,Шапина Маргарита Романовна,163,8б,5,Шапина_МР,64VM9rLR
321,Дурылин Георгий Валериевич,261,11т,4,Дурылин_ГВ,ekr1VQpe
322,Болкисева Анна Викторовна,248,7х,4,Болкисева_АВ,2AYge2Nq
323,Багапов Вячеслав Сергеевич,99,7д,4,Багапов_ВС,Vgvt4bz0
